retailer_slug,store_external_code,store_province,store_locality,store_postal_code,product_external_id,product_name,brand,category,barcode,package_quantity,package_unit,amount,currency,unit_price,promotion,availability,source_type,source_name,source_url,observed_at,expires_at,confidence_score,verification_status,canonical_name
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-001-TOMATE,Tomate 1 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,1000,g,4.68,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,tomate
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-002-CEBOLLA,Cebolla 1 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,1000,g,1.09,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,cebolla
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-003-AJO,Ajo 150 g — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,150,g,0.99,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,ajo
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-004-PIMIENTO_ROJO,Pimiento rojo 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,500,g,1.87,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,pimiento_rojo
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-005-CALABACIN,Calabacín 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,500,g,1.08,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,calabacin
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-006-ZANAHORIA,Zanahoria 1 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,1000,g,1.09,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,zanahoria
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-007-ESPINACA,Espinaca 250 g — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,250,g,1.52,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,espinaca
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-008-PATATA,Patata 2 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),verduras,,2000,g,1.97,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,patata
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-009-MANZANA,Manzana 1 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),frutas,,1000,g,2.11,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,manzana
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-010-PLATANO,Plátano 1 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),frutas,,1000,g,1.67,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,platano
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-011-NARANJA,Naranja 2 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),frutas,,2000,g,2.74,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,naranja
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-012-FRESA,Fresa 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),frutas,,500,g,2.06,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,fresa
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-013-LIMON,Limón 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),frutas,,500,g,1.06,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,limon
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-014-AGUACATE,Aguacate 400 g — muestra SuperMuestra,SuperMuestra (marca de muestra),frutas,,400,g,2.44,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,aguacate
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-015-ARANDANO,Arándano 125 g — muestra SuperMuestra,SuperMuestra (marca de muestra),frutas,,125,g,1.87,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,arandano
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-016-POLLO_PECHUGA,Pechuga de pollo 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),carne,,500,g,3.42,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,pollo_pechuga
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-017-POLLO_MUSLO,Muslo de pollo 1 kg — muestra SuperMuestra,SuperMuestra (marca de muestra),carne,,1000,g,4.2,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,pollo_muslo
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-018-TERNERA_PICADA,Ternera picada 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),carne,,500,g,5.05,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,ternera_picada
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-019-CERDO_LOMO,Lomo de cerdo 600 g — muestra SuperMuestra,SuperMuestra (marca de muestra),carne,,600,g,4.26,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,cerdo_lomo
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-020-PAVO_PECHUGA,Pechuga de pavo 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),carne,,500,g,4.19,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,pavo_pechuga
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-021-CHORIZO,Chorizo 200 g — muestra SuperMuestra,SuperMuestra (marca de muestra),carne,,200,g,2.48,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,chorizo
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-022-JAMON_COCIDO,Jamón cocido 200 g — muestra SuperMuestra,SuperMuestra (marca de muestra),carne,,200,g,2.31,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,jamon_cocido
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-023-SALMON,Salmón 400 g — muestra SuperMuestra,SuperMuestra (marca de muestra),pescado_marisco,,400,g,5.58,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,salmon
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-024-MERLUZA,Merluza 500 g — muestra SuperMuestra,SuperMuestra (marca de muestra),pescado_marisco,,500,g,4.97,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,merluza
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-025-ATUN_LATA,Atún en lata 300 g — muestra SuperMuestra,SuperMuestra (marca de muestra),pescado_marisco,,300,g,3.01,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,atun_lata
supermuestra,SM-MAD-001,Madrid,Madrid,28013,SM-026-GAMBAS,Gambas 400 g — muestra SuperMuestra,SuperMuestra (marca de muestra),pescado_marisco,,400,g,5.71,EUR,,,in_stock,admin_import,Catálogo de muestra (denso),,2026-07-22T09:00:00Z,,,unverified,gambas
